date,cases_new
2020-01-26,4
2020-02-02,4
2020-02-09,9
2020-02-16,5
2020-02-23,0
2020-03-01,7
2020-03-08,70
2020-03-15,329
2020-03-22,878
2020-03-29,1164
2020-04-05,1192
2020-04-12,1021
2020-04-19,706
2020-04-26,391
2020-05-03,518
2020-05-10,358
2020-05-17,238
2020-05-24,351
2020-05-31,574
2020-06-07,503
2020-06-14,131
2020-06-21,119
2020-06-28,62
2020-07-05,29
2020-07-12,55
2020-07-19,61
2020-07-26,118
2020-08-02,102
2020-08-09,84
2020-08-16,117
2020-08-23,67
2020-08-30,67
2020-09-06,63
2020-09-13,518
2020-09-20,304
2020-09-27,700
2020-10-04,1462
2020-10-11,3276
2020-10-18,4841
2020-10-25,6067
2020-11-01,5940
2020-11-08,7704
2020-11-15,7208
2020-11-22,7358
2020-11-29,9710
2020-12-06,8209
2020-12-13,10781
2020-12-20,9834
2020-12-27,11787
2021-01-03,13981
2021-01-10,16915
2021-01-17,22442
2021-01-24,25367
2021-01-31,31158
2021-02-07,27493
2021-02-14,21817
2021-02-21,19300
2021-02-28,17183
2021-03-07,12708
2021-03-14,10303
2021-03-21,9277
2021-03-28,8904
2021-04-04,9015
2021-04-11,9897
2021-04-18,14198
2021-04-25,17888
2021-05-02,22070
2021-05-09,25665
2021-05-16,29433
2021-05-23,41981
2021-05-30,53442
2021-06-06,51282
2021-06-13,40693
2021-06-20,38900
2021-06-27,37640
2021-07-04,44604
2021-07-11,57644
2021-07-18,80265
2021-07-25,96877
2021-08-01,116984
2021-08-08,132118
2021-08-15,142359
2021-08-22,150194
2021-08-29,150996
2021-09-05,138746
2021-09-12,134863
2021-09-19,16073
